epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13036.6,1.30542,1.62665,1.31678,0.56192,0.44094,0.46535,0.32622,1.17264,1.32991,1.20984,0.008614,0.008614,0.008614
44,13343.3,1.30505,1.62454,1.317,0.56422,0.44116,0.46557,0.32676,1.17222,1.32933,1.20919,0.008581,0.008581,0.008581
45,13646.3,1.30578,1.62734,1.31645,0.5768,0.43414,0.46618,0.32659,1.17204,1.3289,1.2089,0.008548,0.008548,0.008548
46,13951.5,1.30393,1.62426,1.31679,0.57852,0.43408,0.46719,0.32751,1.17194,1.32831,1.20895,0.008515,0.008515,0.008515
47,14257.3,1.30265,1.62272,1.31328,0.57652,0.43733,0.46768,0.32748,1.17225,1.328,1.20888,0.008482,0.008482,0.008482
48,14549.4,1.3031,1.62079,1.31487,0.58147,0.43346,0.46748,0.32745,1.17147,1.32729,1.20797,0.008449,0.008449,0.008449
49,14833.5,1.30284,1.62023,1.31403,0.57877,0.43476,0.46727,0.32717,1.17104,1.32652,1.2072,0.008416,0.008416,0.008416
50,15112.7,1.30217,1.61689,1.31328,0.57759,0.43601,0.46743,0.32715,1.17125,1.32688,1.20725,0.008383,0.008383,0.008383
51,15398,1.30228,1.61884,1.31381,0.58875,0.4339,0.46741,0.32728,1.17072,1.32611,1.20668,0.00835,0.00835,0.00835
52,15684.3,1.30054,1.61739,1.3135,0.58463,0.43368,0.4673,0.32739,1.17049,1.32511,1.20663,0.008317,0.008317,0.008317
53,15968.5,1.30139,1.61548,1.31263,0.58285,0.43704,0.46751,0.32685,1.17012,1.32529,1.20644,0.008284,0.008284,0.008284
54,16247.4,1.2998,1.61415,1.31226,0.58344,0.43446,0.46762,0.32723,1.17022,1.32543,1.2061,0.008251,0.008251,0.008251
55,16529.6,1.30032,1.60979,1.31124,0.58251,0.43558,0.46779,0.32737,1.17072,1.32513,1.20604,0.008218,0.008218,0.008218
56,16810.7,1.2996,1.61194,1.31049,0.58175,0.4372,0.46814,0.32775,1.17109,1.3244,1.20609,0.008185,0.008185,0.008185
57,17095.1,1.29979,1.61289,1.31112,0.57894,0.43812,0.46823,0.32793,1.17072,1.32434,1.20572,0.008152,0.008152,0.008152
58,17375.1,1.29814,1.60965,1.31075,0.57817,0.4399,0.46818,0.32791,1.17063,1.32455,1.20527,0.008119,0.008119,0.008119
59,17655,1.29632,1.60857,1.30927,0.58513,0.43712,0.46813,0.32804,1.17056,1.3241,1.20537,0.008086,0.008086,0.008086
60,17933.1,1.29837,1.60948,1.31034,0.5849,0.43764,0.46921,0.32855,1.16983,1.32348,1.20485,0.008053,0.008053,0.008053
61,18215.2,1.29792,1.60625,1.31183,0.59085,0.43598,0.46929,0.32921,1.16977,1.32301,1.2049,0.00802,0.00802,0.00802
62,18500.1,1.29662,1.6051,1.30928,0.5903,0.43729,0.46962,0.32922,1.16943,1.32221,1.20464,0.007987,0.007987,0.007987
63,18789.8,1.29623,1.60598,1.30892,0.59021,0.43659,0.46952,0.32891,1.16951,1.32207,1.2049,0.007954,0.007954,0.007954
64,19070.5,1.29593,1.60385,1.30959,0.58475,0.43538,0.46862,0.32865,1.16865,1.32042,1.20472,0.007921,0.007921,0.007921
65,19354.5,1.2956,1.60206,1.30743,0.58195,0.43659,0.46909,0.32884,1.16842,1.31918,1.20442,0.007888,0.007888,0.007888
66,19640.3,1.29506,1.6007,1.30925,0.58419,0.43627,0.46964,0.329,1.16817,1.31804,1.20421,0.007855,0.007855,0.007855
67,19921.8,1.29412,1.6009,1.30868,0.58436,0.43781,0.46993,0.32906,1.16798,1.31753,1.20427,0.007822,0.007822,0.007822
68,20202.4,1.29338,1.60026,1.30728,0.58896,0.43558,0.47014,0.32874,1.16789,1.31737,1.20414,0.007789,0.007789,0.007789
69,20477.9,1.29426,1.59967,1.30802,0.59588,0.43139,0.46992,0.32909,1.16756,1.31732,1.2039,0.007756,0.007756,0.007756
70,20759.8,1.29261,1.59754,1.30657,0.59391,0.43129,0.47017,0.32947,1.16771,1.31709,1.20379,0.007723,0.007723,0.007723
71,21040.3,1.29359,1.59361,1.30599,0.58983,0.43402,0.47025,0.33013,1.1677,1.31671,1.20368,0.00769,0.00769,0.00769
72,21320.6,1.29251,1.59426,1.30552,0.59305,0.43409,0.47022,0.33002,1.16737,1.3166,1.20349,0.007657,0.007657,0.007657
73,21604,1.29087,1.59486,1.30617,0.59354,0.43561,0.47057,0.33059,1.16781,1.31561,1.20359,0.007624,0.007624,0.007624
74,21880.8,1.2926,1.59332,1.30576,0.59518,0.4332,0.47107,0.33086,1.16778,1.31549,1.20362,0.007591,0.007591,0.007591
75,22163.6,1.29035,1.58978,1.30357,0.59772,0.43017,0.47108,0.33125,1.16783,1.31536,1.20338,0.007558,0.007558,0.007558
76,22442.2,1.29049,1.5897,1.30559,0.59127,0.43645,0.4721,0.33159,1.1671,1.31426,1.20284,0.007525,0.007525,0.007525
77,22722.2,1.29017,1.58829,1.30416,0.59558,0.43272,0.47203,0.33197,1.16651,1.31357,1.20255,0.007492,0.007492,0.007492
